what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1340846044855
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1340846044856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846046941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846049641
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340846056043
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340846056106
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340846056135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846057318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846237666
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340846243156
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340846243211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1340846245835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340846246249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340846246710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340846247093
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340846248497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846248954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846259996
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340846262552
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340846265309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846266346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846296040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340846300427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340846300735
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1340846302546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340846302937
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340846309364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846311612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1340846320654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1340846320654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846320670
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340846322523
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1340846330947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340846335172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846344650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846380315
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340846382145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846382788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846384008
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340846385359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340846386277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340846390830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846392942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846413959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846427985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846433282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846453063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846500164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846522839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846555382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846556487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846557541
error,log,,,"No command output when running: 'am start -n br.com.android/br.com.android.PlayerVideoActivity -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device I55000e270a93",1340846571221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846588166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846834710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846835636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340846865736
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340846867288
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340846867288
